fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
599,0.5157204188,0.5911803336,-95.5959089537,49.4484501976,283.703704,3174.107143,829.428571,6218.928571,2198.571429,1,521.321429,4368.75,2804.214286,,2465.227273,163.250000
600,0.2485047327,0.2042734623,-95.504188255,49.4484501976,249.464286,4234.827586,655.62069,7296.964286,2695.785714,,416.034483,-2109.72,2846.8,,1646.678571,161.000000
601,0.4173752815,0.5588850251,-95.4583279057,49.4484501976,232.214286,3857.714286,594.888889,7261.214286,2383.703704,,376.259259,5623.791667,2815.3,,3451.458333,174.000000
602,0.2090551357,0.4077177204,-95.4124675564,49.4484501976,228.24,3560.586207,492.964286,7240.310345,2160.862069,,359.357143,10401.291667,2704,,4127.875000,163.000000
603,0.4662846172,0.6237310593,-95.366607207,49.4484501976,201.535714,3314.535714,500.75,7165.428571,1980.857143,,327.428571,10085.607143,2760.875,,3658.571429,162.000000
604,0.0886854406,0.466040818,-93.6239139325,49.4484501976,132.62963,2861.172414,297.758621,7755.448276,1527.642857,,190.444444,11572.730769,2631,,4962.269231,
605,0.3287137523,0.2322859817,-93.5780535831,49.4484501976,142.448276,1893.137931,209.285714,7033.103448,1004.896552,,165.275862,10962.814815,2677.5,,4847.272727,165.000000
606,0.3941262424,0.5382334069,-93.4863328845,49.4484501976,151.115385,2877.275862,400.75,7523.62069,1584.607143,,222.896552,11550.5,2630,,5003.192308,
607,0.3901679948,0.6625904954,-93.4404725351,49.4484501976,144.214286,2740.344828,390.758621,7473.206897,1505.689655,,217.071429,11546.111111,2631.5,,5016.833333,
608,0.5132193225,0.520466143,-93.3946121858,49.4484501976,168.222222,2885.357143,404.222222,7439,1596.857143,,236.25,9968,2693.666667,,4625.583333,163.000000
609,0.1737298497,0.2723790514,-93.3028914871,49.4484501976,152.285714,3004.733333,369.965517,7571.866667,1652.933333,,221.965517,11526.807692,2630,,5058.769231,
610,0.7540368959,0.8976608664,-93.2570311378,49.4484501976,159.928571,3160.107143,395.785714,7609.178571,1757.178571,,238.464286,11522.875,2629.333333,,5071.208333,
611,0.683269294,0.9867286235,-93.1653104392,49.4484501976,130.965517,3565.133333,352.241379,8072.966667,1953.533333,,208.37931,11511,2627.2,,5097.600000,
612,0.7004711231,0.6726950053,-93.1194500898,49.4484501976,129.769231,3377.642857,367.333333,7929.678571,1863.285714,,214.428571,11501.464286,2628.25,,5110.875000,
613,0.4764954069,0.9473171447,-93.0735897405,49.4484501976,126.148148,3140.037037,354.444444,7792.807692,1734.185185,,212.76,11493.941176,2627.6,,5121.900000,
614,0.37276182,0.5490363038,-100.9615698253,49.3855684154,536.928571,2575.827586,2076.62069,4237.034483,2538.517241,,1026.172414,12448.25,2728,,1821.517241,
615,0.9885574068,1.3932300721,-100.915709476,49.3855684154,513.166667,2695.766667,2045,4439.033333,2567.966667,,989.655172,12451.896552,2726.75,,1847.866667,
616,1.3831254244,0.65010794,-100.8698491267,49.3855684154,475.285714,2860.586207,1867.793103,4751.206897,2571.206897,,912.310345,12424.185185,2726,,1875.241379,
617,1.0020826558,1.2571488023,-100.64054738,49.3855684154,565.307692,2416.923077,2080.884615,3949.461538,2549.461538,,1104.961538,9377.869565,2769.5,,1914.440000,168.000000
618,0.454276666,0.7336822152,-100.5946870307,49.3855684154,586.666667,2219.344828,2498.033333,3661,2489.3,,1156.933333,10898.086957,2760,,2077.230769,
619,0.4164278172,0.7218097627,-100.5488266814,49.3855684154,519.068966,2432.931034,2320.344828,4098.931034,2441.37931,1,1014,10744.809524,2740.727273,,1938.409091,175.000000
620,0.5118730118,1.0862223605,-100.502966332,49.3855684154,488.310345,2649.206897,1949.034483,4469.068966,2487.37931,,946.655172,11693.88,2730.4,,2034.448276,
621,0.7383016467,0.8086909473,-100.3195249347,49.3855684154,496.310345,2744.275862,2187,4531.862069,2521.724138,,935.896552,3107.178571,2782,,1385.724138,
622,0.7359428376,1.0925444067,-100.2736645854,49.3855684154,596.555556,2074.925926,2369.148148,3494.777778,2329.814815,,1120.111111,10908.041667,2741.333333,,2212.040000,
623,0.4889775515,0.6901219785,-100.227804236,49.3855684154,510.448276,2976.62069,2287.724138,4662.448276,2781.448276,,998.551724,3798.181818,2799.545455,,1646.347826,175.333333
624,0.3608462829,0.6284694225,-100.1819438867,49.3855684154,507.586207,2428.758621,2222.827586,4140.103448,2414.482759,1,996.827586,12318.961538,2711.363636,,2258.250000,
625,0.8849259478,1.2409333007,-100.1360835374,49.3855684154,502.137931,2030.133333,2414.633333,3764.5,2101.1,,956.433333,12329.111111,2711,,2282.777778,
626,0.2139980029,0.5699089256,-100.0902231881,49.3855684154,485.769231,2266.384615,2354.153846,4075.115385,2223.115385,,942.92,11562.809524,2785.5,,2413.120000,165.000000
627,0.541047886,1.0541209408,-99.9985024894,49.3855684154,532.551724,2173.758621,2356.689655,3825.965517,2275.551724,,1036.285714,11626.84,2733,,2412.680000,161.000000
628,0.8089237988,1.2788038373,-99.9526421401,49.3855684154,489.862069,2578.793103,2088.607143,4409.896552,2427.071429,,944.758621,12254.148148,2697.777778,,2692.142857,162.000000
629,1.0383625925,1.2414889097,-99.9067817907,49.3855684154,461.142857,2569.928571,2164.25,4493.392857,2370.821429,1,895.185185,10893.608696,2767.909091,,2488.535714,163.000000
630,1.2550099393,1.8473355571,-99.8609214414,49.3855684154,499.678571,3235.928571,2247.535714,4949.892857,2926.892857,1,975.892857,753.692308,2997.466667,,3514.692308,166.000000
631,0.8305311153,1.2872836788,-99.8150610921,49.3855684154,426.172414,3134,2129.066667,5150.066667,2641.666667,,831.62069,6943.16,2868.214286,,2843.586207,
632,1.1450907631,1.4823621256,-99.7692007427,49.3855684154,393.034483,3214.862069,2068.586207,5402,2615.931034,1,776.793103,8596.086957,2772.461538,,2407.166667,
633,0.3815699704,0.6974101216,-99.6774800441,49.3855684154,489.448276,2870.172414,2308.103448,4658.793103,2591.75,,939.793103,4517.923077,2877.153846,,3081.111111,163.000000
634,0.5024570211,0.847865453,-99.6316196948,49.3855684154,298.172414,2709.517241,1347.034483,5266.586207,2192.862069,,661.862069,12275.807692,2701.6,,2550.076923,
635,1.2237309391,1.9284357578,-99.5857593454,49.3855684154,270.066667,2915.066667,958.733333,5236.6,2202.133333,,557.033333,12273.133333,2699.625,,2573.448276,
636,0.808501314,1.2265388072,-99.5398989961,49.3855684154,383.96,3612.307692,1683,5823.346154,2816.384615,1,735.884615,12266,2727.125,,2596.080000,
637,0.9921475172,1.1769720078,-99.4940386468,49.3855684154,442.033333,3205.633333,1938.166667,5219.433333,2721.833333,0,858.6,7862.296296,2806.307692,,2635.592593,163.000000
638,0.565966439,1.1099143351,-99.4481782974,49.3855684154,454.857143,3283.428571,1991.482759,5190.172414,2819.310345,0,886.551724,2844.555556,2887.538462,,2741.407407,
639,0.6516608939,1.4266420245,-99.3564575988,49.3855684154,446.892857,3299.107143,1958.5,5256.857143,2825.035714,,877.464286,-4699.107143,2963.4,,2833.107143,163.000000
640,0.6164064586,0.8573035598,-99.3105972494,49.3855684154,432.571429,3415.321429,1957.642857,5440.37931,2829.821429,,835.285714,-4765.75,2957.230769,,2508.500000,
641,0.8124106493,1.2148145346,-99.2647369001,49.3855684154,407.285714,2977.233333,1965.5,5088.827586,2558.2,,829.9,-4782.785714,2952.071429,,2400.533333,
642,0.8751104295,1.3692675948,-99.2188765508,49.3855684154,462.428571,3100.5,2255.714286,4999.428571,2758.678571,,921.571429,-4814.346154,2938.384615,,2181.785714,162.000000
643,1.0476902468,1.425661351,-99.1730162014,49.3855684154,491.714286,3129.321429,2517.464286,4921.357143,2812,,951.037037,-4858.961538,2906,,1806.250000,
644,0.9732467706,1.2158029576,-99.1271558521,49.3855684154,464.034483,3188.724138,2412.034483,5083.896552,2770.206897,,896.37931,-4884.08,2904.666667,,1779.655172,
645,0.7671459913,1.4195978301,-99.0812955028,49.3855684154,500.896552,3004.310345,2311.103448,4761.724138,2767.689655,,977.344828,-4890.259259,2902.75,,1751.965517,
646,1.0443906784,1.435946246,-99.0354351535,49.3855684154,506.931034,2595.206897,2413.655172,4331.310345,2513.448276,,987.517241,-4873.692308,2901.307692,,1724.586207,
647,1.2008188417,1.4943743149,-98.9437144548,49.3855684154,496,3086.034483,2288.551724,4892.275862,2812.724138,,966.482759,-4837.090909,2908.4,,1728.172414,163.000000
