longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-98.9895748041,49.2598048509,0.819403,1.384641,460.684211,163.000000,3650.072368,2124.434211,5458.789474,3076.907285,0.000000,892.328947,-4776.179104,2910.275000,3478.000000,1964.927632
-98.9437144548,49.2598048509,0.804582,1.339097,486.166667,162.500000,3151.966667,2326.593333,4917.333333,2825.646667,0.000000,949.080000,-4793.101563,2902.883117,4160.000000,1855.966667
-98.8978541055,49.2598048509,0.713380,1.174444,503.333333,162.600000,2761.530201,2496.686667,4514.140000,2627.613333,0.000000,991.213333,-4803.291667,2897.893333,4160.000000,1751.852349
-98.8519937561,49.2598048509,0.919510,1.345380,491.320000,162.500000,2768.133333,2541.311258,4550.390728,2607.726667,0.000000,968.496689,-4790.483871,2896.774648,4160.000000,1757.960000
-98.8061334068,49.2598048509,0.883396,1.285297,469.315436,163.571429,3055.754967,2450.218543,4869.344371,2736.373333,0.000000,922.503311,-4770.089431,2911.222222,3905.500000,1879.331126
-98.7602730575,49.2598048509,0.936237,1.327736,434.871622,163.571429,3435.560000,2255.660000,5315.373333,2886.860000,0.000000,851.913333,-4758.596774,2920.243590,3869.142857,2024.766667
-98.7144127081,49.2598048509,0.888932,1.275630,420.867550,163.666667,3732.198675,2112.105960,5646.119205,3039.741722,0.500000,820.768212,-4768.300752,2914.100000,3586.428571,2017.099338
-98.6226920095,49.2598048509,0.843009,1.249040,459.182432,162.333333,3031.940000,2512.013333,4907.526667,2626.966667,0.500000,868.919463,-4860.269231,2887.972222,2817.666667,1613.496644
-98.5768316602,49.2598048509,0.769371,1.155354,466.867550,162.000000,2610.490066,2685.539474,4522.651316,2348.236842,0.000000,873.013245,-4876.872180,2883.630137,3648.000000,1560.171053
-98.5309713108,49.2598048509,0.772101,1.171143,475.376712,162.000000,2400.181208,2773.013333,4292.286667,2222.880000,0.000000,881.590604,-4895.392308,2878.057971,3750.400000,1443.180000
-98.4851109615,49.2598048509,0.928406,1.348591,482.278912,161.000000,2333.326667,2783.540000,4194.540000,2191.746667,0.000000,889.744966,-4907.450820,2872.535211,3750.400000,1369.393333
